"","JobLevel","Age","DistanceFromHome","EducationField","Gender","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition","mean_sal","sal_diff","comp_ratio"
"12",1,32,5,"Other","Female","Research Scientist","4","Married",3312,3,17,"3",6,3,3,2,0,2,0,2786.9152854512,525.084714548803,1.18841071965479
"13",1,31,5,"Marketing","Female","Sales Representative","2","Divorced",2789,1,11,"3",2,5,2,2,2,2,0,2786.9152854512,2.08471454880282,1.00074803656921
"14",1,19,1,"Technical Degree","Female","Sales Representative","1","Single",2325,0,21,"4",1,5,0,0,0,0,1,2786.9152854512,-461.915285451197,0.834255713525783
"15",1,28,15,"Life Sciences","Male","Laboratory Technician","3","Divorced",2207,1,16,"3",4,5,4,2,2,2,0,2786.9152854512,-579.915285451197,0.791914993441464
"16",1,24,23,"Medical","Male","Research Scientist","4","Married",2725,1,11,"3",6,3,6,5,1,4,0,2786.9152854512,-61.9152854511972,0.977783578218391
"17",1,27,9,"Medical","Female","Research Scientist","2","Single",2279,1,16,"3",7,2,7,7,0,3,0,2786.9152854512,-507.915285451197,0.817750009086133
"18",1,37,9,"Medical","Male","Research Scientist","4","Married",2326,1,12,"3",4,3,4,2,1,2,0,2786.9152854512,-460.915285451197,0.834614533187515
"19",1,27,3,"Medical","Male","Research Scientist","3","Divorced",2566,1,15,"3",1,2,1,1,0,1,0,2786.9152854512,-220.915285451197,0.920731252003079
"20",1,38,4,"Medical","Female","Laboratory Technician","3","Married",3306,7,19,"3",7,5,0,0,0,0,0,2786.9152854512,519.084714548803,1.1862578016844
"21",1,33,2,"Medical","Male","Laboratory Technician","4","Single",2496,4,11,"3",7,3,1,1,0,0,0,2786.9152854512,-290.915285451197,0.895613875681873
"22",1,23,4,"Medical","Male","Research Scientist","1","Married",2819,2,16,"3",5,3,3,2,0,2,0,2786.9152854512,32.0847145488028,1.01151262642115
"23",1,22,26,"Other","Female","Research Scientist","3","Married",2814,1,14,"3",4,2,4,2,1,3,0,2786.9152854512,27.0847145488028,1.0097185281125
"24",1,30,2,"Medical","Female","Laboratory Technician","4","Single",2564,0,14,"3",12,2,11,7,6,7,0,2786.9152854512,-222.915285451197,0.920013612679616
"25",1,50,1,"Medical","Male","Laboratory Technician","3","Married",3690,2,15,"3",5,2,3,2,0,2,0,2786.9152854512,903.084714548803,1.32404455178931
"26",1,42,19,"Medical","Male","Research Scientist","3","Divorced",2759,6,12,"3",7,2,2,2,2,2,1,2786.9152854512,-27.9152854511972,0.989983446717263
"27",1,32,1,"Life Sciences","Male","Laboratory Technician","3","Single",3730,0,14,"3",4,2,3,2,1,2,1,2786.9152854512,943.084714548803,1.33839733825857
"28",1,22,19,"Medical","Male","Research Scientist","4","Married",2323,1,24,"4",2,6,2,2,2,2,0,2786.9152854512,-463.915285451197,0.83353807420232
"29",1,23,9,"Medical","Male","Laboratory Technician","1","Married",2500,1,14,"3",5,2,4,3,0,2,0,2786.9152854512,-286.915285451197,0.897049154328799
"30",1,22,15,"Medical","Female","Laboratory Technician","4","Single",2871,1,15,"3",1,5,0,0,0,0,0,2786.9152854512,84.0847145488028,1.03017124883119
"31",1,56,7,"Technical Degree","Male","Laboratory Technician","3","Married",2339,8,11,"3",14,4,10,9,9,8,1,2786.9152854512,-447.915285451197,0.839279188790024
"32",1,26,21,"Medical","Male","Laboratory Technician","3","Divorced",2377,1,20,"4",1,0,1,1,0,0,1,2786.9152854512,-409.915285451197,0.852914335935822
"33",1,35,2,"Medical","Male","Research Scientist","4","Single",4930,0,14,"3",6,2,5,4,1,4,0,2786.9152854512,2143.0847145488,1.76898093233639
"34",1,26,6,"Other","Female","Research Scientist","2","Married",2368,1,19,"3",5,3,5,4,4,3,0,2786.9152854512,-418.915285451197,0.849684958980238
"35",1,56,9,"Medical","Female","Research Scientist","3","Married",2942,2,19,"3",18,4,5,4,0,3,0,2786.9152854512,155.084714548803,1.05564744481413
"36",1,37,10,"Medical","Female","Research Scientist","2","Married",3936,1,11,"3",8,2,8,4,7,7,0,2786.9152854512,1149.0847145488,1.41231418857526
"37",1,22,5,"Life Sciences","Male","Research Scientist","2","Divorced",2328,1,16,"3",4,2,4,2,2,2,0,2786.9152854512,-458.915285451197,0.835332172510978
"38",1,28,8,"Life Sciences","Female","Research Scientist","4","Single",3310,1,21,"4",5,3,5,3,0,2,0,2786.9152854512,523.084714548803,1.18769308033133
"39",1,43,2,"Medical","Female","Research Scientist","3","Divorced",2645,1,12,"3",6,3,5,3,1,4,0,2786.9152854512,-141.915285451197,0.949078005279869
"40",1,35,28,"Life Sciences","Female","Sales Representative","3","Married",2430,0,23,"4",6,5,5,3,4,2,0,2786.9152854512,-356.915285451197,0.871931778007593
"41",1,35,16,"Medical","Male","Laboratory Technician","2","Married",2426,0,13,"3",6,5,5,4,0,3,0,2786.9152854512,-360.915285451197,0.870496499360667
"42",1,34,2,"Marketing","Female","Sales Representative","3","Married",2231,6,18,"3",6,3,4,3,1,2,0,2786.9152854512,-555.915285451197,0.80052666532302
"43",1,50,28,"Medical","Male","Laboratory Technician","3","Married",3221,1,11,"3",20,3,20,8,3,8,0,2786.9152854512,434.084714548803,1.15575813043722
"44",1,36,6,"Life Sciences","Male","Laboratory Technician","4","Married",3210,0,11,"3",16,4,15,13,10,11,0,2786.9152854512,423.084714548803,1.15181111415818
"45",1,52,2,"Life Sciences","Female","Laboratory Technician","4","Single",3212,7,15,"3",6,3,2,2,2,2,0,2786.9152854512,425.084714548803,1.15252875348164
"46",1,23,8,"Medical","Male","Laboratory Technician","3","Single",3989,1,11,"3",5,2,5,4,1,2,1,2786.9152854512,1202.0847145488,1.43133163064703
"47",1,33,8,"Life Sciences","Male","Research Scientist","1","Married",3143,6,19,"3",14,1,10,8,7,6,0,2786.9152854512,356.084714548803,1.12777019682217
"48",1,33,25,"Medical","Male","Research Scientist","2","Single",2313,4,20,"4",5,0,2,2,2,2,1,2786.9152854512,-473.915285451197,0.829949877585005
"49",1,39,8,"Life Sciences","Female","Laboratory Technician","3","Married",3755,1,11,"3",8,3,8,3,0,7,0,2786.9152854512,968.084714548803,1.34736782980186
"50",1,45,29,"Medical","Male","Research Scientist","4","Single",3452,5,13,"3",9,2,6,5,0,3,0,2786.9152854512,665.084714548803,1.23864547229721
"51",1,18,8,"Medical","Male","Laboratory Technician","3","Single",1904,1,12,"3",0,0,0,0,0,0,1,2786.9152854512,-882.915285451197,0.683192635936813
"52",1,51,9,"Life Sciences","Male","Laboratory Technician","4","Married",2075,3,23,"4",10,4,4,2,0,3,0,2786.9152854512,-711.915285451197,0.744550798092903
"53",1,28,9,"Medical","Female","Research Scientist","3","Divorced",2377,5,18,"3",6,2,2,2,2,2,0,2786.9152854512,-409.915285451197,0.852914335935822
"54",1,34,14,"Technical Degree","Female","Sales Representative","3","Divorced",2579,1,18,"3",8,3,8,2,0,6,0,2786.9152854512,-207.915285451197,0.925395907605589
"55",1,42,12,"Medical","Male","Laboratory Technician","2","Divorced",2766,8,22,"4",7,6,5,3,0,4,0,2786.9152854512,-20.9152854511972,0.992495184349383
"56",1,34,2,"Medical","Female","Research Scientist","1","Single",4381,1,11,"3",6,3,6,5,1,3,0,2786.9152854512,1594.0847145488,1.57198893804579
"57",1,31,8,"Medical","Female","Human Resources","2","Single",2109,9,18,"3",8,3,3,2,0,2,0,2786.9152854512,-677.915285451197,0.756750666591775
"58",1,30,3,"Life Sciences","Male","Laboratory Technician","4","Married",2097,4,15,"3",9,3,5,3,1,4,0,2786.9152854512,-689.915285451197,0.752444830650997
"59",1,33,2,"Life Sciences","Male","Research Scientist","4","Single",2500,0,14,"3",4,2,3,1,0,2,0,2786.9152854512,-286.915285451197,0.897049154328799
"60",1,44,2,"Life Sciences","Female","Research Scientist","4","Married",2011,1,13,"3",10,5,10,5,7,7,0,2786.9152854512,-775.915285451197,0.721586339742086
"61",1,37,1,"Life Sciences","Female","Research Scientist","4","Single",2115,1,12,"3",17,3,17,12,5,7,0,2786.9152854512,-671.915285451197,0.758903584562164
"62",1,28,1,"Life Sciences","Male","Human Resources","4","Divorced",2706,1,15,"3",3,2,3,2,2,2,0,2786.9152854512,-80.9152854511972,0.970966004645492
"63",1,24,17,"Other","Male","Laboratory Technician","2","Married",2127,1,21,"4",1,2,1,0,0,0,0,2786.9152854512,-659.915285451197,0.763209420502942
"64",1,49,1,"Technical Degree","Female","Research Scientist","1","Married",3580,2,16,"3",7,2,4,2,0,2,0,2786.9152854512,793.084714548803,1.28457438899884
"65",1,20,6,"Life Sciences","Female","Laboratory Technician","4","Single",2926,1,18,"3",1,5,1,0,1,0,1,2786.9152854512,139.084714548803,1.04990633022643
"66",1,24,7,"Life Sciences","Female","Laboratory Technician","3","Married",2886,1,16,"3",6,4,6,3,1,2,1,2786.9152854512,99.0847145488028,1.03555354375717
"67",1,26,3,"Medical","Male","Laboratory Technician","4","Married",4420,1,22,"4",8,2,8,7,0,7,0,2786.9152854512,1633.0847145488,1.58598290485332
"68",1,59,3,"Life Sciences","Male","Research Scientist","4","Married",2177,3,17,"3",7,6,1,0,0,0,0,2786.9152854512,-609.915285451197,0.781150403589518
"69",1,37,4,"Marketing","Male","Sales Representative","4","Divorced",2793,4,17,"3",13,2,9,8,5,8,0,2786.9152854512,6.08471454880282,1.00218331521613
"70",1,36,3,"Life Sciences","Female","Laboratory Technician","4","Divorced",2835,5,22,"4",7,2,1,0,0,0,0,2786.9152854512,48.0847145488028,1.01725374100886
"71",1,31,5,"Technical Degree","Male","Research Scientist","4","Married",4821,0,12,"3",6,4,5,2,0,3,0,2786.9152854512,2034.0847145488,1.72986958920766
"72",1,42,2,"Technical Degree","Male","Human Resources","3","Divorced",2696,0,11,"3",4,5,3,2,1,0,0,2786.9152854512,-90.9152854511972,0.967377808028177
"73",1,38,9,"Life Sciences","Female","Laboratory Technician","4","Single",2288,1,12,"3",2,3,2,2,2,1,0,2786.9152854512,-498.915285451197,0.820979386041717
"74",1,29,23,"Life Sciences","Male","Research Scientist","3","Married",2700,1,24,"4",10,3,10,7,0,7,0,2786.9152854512,-86.9152854511972,0.968813086675103
"75",1,28,1,"Technical Degree","Male","Research Scientist","1","Single",2080,2,11,"3",5,2,3,2,1,2,0,2786.9152854512,-706.915285451197,0.746344896401561
"76",1,28,3,"Medical","Female","Sales Representative","2","Married",2856,1,19,"3",1,3,1,0,0,0,0,2786.9152854512,69.0847145488028,1.02478895390522
"77",1,19,9,"Life Sciences","Male","Research Scientist","1","Single",2552,1,25,"4",1,4,1,1,0,0,0,2786.9152854512,-234.915285451197,0.915707776738838
"78",1,22,7,"Life Sciences","Male","Research Scientist","2","Single",2472,1,23,"4",1,2,1,0,0,0,1,2786.9152854512,-314.915285451197,0.887002203800316
"79",1,59,3,"Medical","Female","Laboratory Technician","1","Married",2670,4,20,"4",12,3,1,0,0,0,0,2786.9152854512,-116.915285451197,0.958048496823157
"80",1,22,2,"Technical Degree","Male","Laboratory Technician","4","Married",2523,0,14,"3",3,2,2,1,2,1,0,2786.9152854512,-263.915285451197,0.905302006548624
"81",1,35,8,"Life Sciences","Male","Laboratory Technician","4","Married",2269,1,19,"3",1,2,1,0,0,1,0,2786.9152854512,-517.915285451197,0.814161812468818
"82",1,27,2,"Medical","Male","Research Scientist","4","Single",2580,2,13,"3",6,0,4,2,1,2,0,2786.9152854512,-206.915285451197,0.925754727267321
"83",1,36,3,"Medical","Male","Laboratory Technician","2","Single",2088,4,12,"3",13,3,8,7,7,2,0,2786.9152854512,-698.915285451197,0.749215453695413
"84",1,29,8,"Other","Male","Laboratory Technician","1","Married",2119,1,11,"3",7,4,7,7,0,7,1,2786.9152854512,-667.915285451197,0.76033886320909
"85",1,26,1,"Medical","Male","Laboratory Technician","1","Married",3955,1,16,"3",6,2,5,3,1,3,0,2786.9152854512,1168.0847145488,1.41913176214816
"86",1,36,9,"Medical","Male","Research Scientist","3","Married",3388,0,17,"3",2,0,1,0,0,0,1,2786.9152854512,601.084714548803,1.21568101394639
"87",1,56,14,"Life Sciences","Female","Research Scientist","2","Married",4963,9,18,"3",7,2,5,4,4,3,1,2786.9152854512,2176.0847145488,1.78082198117353
"88",1,29,25,"Technical Degree","Female","Research Scientist","2","Married",2546,5,16,"3",6,2,2,2,1,1,1,2786.9152854512,-240.915285451197,0.913554858768449
"89",1,34,20,"Technical Degree","Female","Research Scientist","3","Married",2585,0,17,"3",2,5,1,0,0,0,0,2786.9152854512,-201.915285451197,0.927548825575978
"90",1,31,12,"Medical","Female","Research Scientist","4","Married",3929,8,23,"4",7,0,4,2,0,2,0,2786.9152854512,1142.0847145488,1.40980245094314
"91",1,38,2,"Life Sciences","Male","Research Scientist","4","Single",3944,5,11,"3",6,3,3,2,1,2,0,2786.9152854512,1157.0847145488,1.41518474586911
"92",1,33,4,"Medical","Female","Research Scientist","2","Married",2622,6,21,"4",7,3,3,2,1,1,0,2786.9152854512,-164.915285451197,0.940825153060044
"93",1,32,1,"Life Sciences","Male","Research Scientist","1","Single",2956,1,13,"3",1,2,1,0,0,0,0,2786.9152854512,169.084714548803,1.06067092007837
"94",1,39,2,"Life Sciences","Female","Laboratory Technician","1","Single",3646,2,23,"4",11,2,1,0,0,0,1,2786.9152854512,859.084714548803,1.30825648667312
"95",1,27,3,"Medical","Male","Research Scientist","4","Married",1706,1,11,"3",0,6,0,0,0,0,0,2786.9152854512,-1080.9152854512,0.612146342913972
"96",1,34,6,"Medical","Male","Research Scientist","1","Single",2960,2,11,"3",8,2,4,2,1,3,1,2786.9152854512,173.084714548803,1.0621061987253
"97",1,27,6,"Life Sciences","Male","Research Scientist","3","Married",2539,1,13,"3",4,0,4,2,2,2,0,2786.9152854512,-247.915285451197,0.911043121136328
"98",1,42,10,"Technical Degree","Male","Research Scientist","3","Married",2936,3,22,"4",10,1,6,3,3,3,0,2786.9152854512,149.084714548803,1.05349452684374
"99",1,46,1,"Life Sciences","Female","Human Resources","1","Single",3423,6,12,"3",10,3,7,6,5,7,0,2786.9152854512,636.084714548803,1.22823970210699
"100",1,35,23,"Medical","Female","Laboratory Technician","1","Married",4014,3,15,"3",4,3,2,2,2,2,0,2786.9152854512,1227.0847145488,1.44030212219032
"101",1,32,29,"Medical","Female","Laboratory Technician","3","Single",4025,9,12,"3",10,2,8,7,7,7,0,2786.9152854512,1238.0847145488,1.44424913846937
"102",1,20,10,"Medical","Male","Research Scientist","3","Single",1009,1,11,"3",1,5,1,0,1,1,1,2786.9152854512,-1777.9152854512,0.362049038687103
"103",1,35,3,"Life Sciences","Male","Laboratory Technician","3","Married",1281,1,18,"3",1,3,1,0,0,0,0,2786.9152854512,-1505.9152854512,0.459647986678077
"104",1,32,1,"Life Sciences","Male","Laboratory Technician","4","Divorced",2314,0,12,"3",4,2,3,0,0,2,0,2786.9152854512,-472.915285451197,0.830308697246736
"105",1,30,9,"Medical","Male","Laboratory Technician","3","Single",2206,1,13,"3",10,5,10,0,1,8,0,2786.9152854512,-580.915285451197,0.791556173779732
"106",1,30,8,"Human Resources","Female","Human Resources","4","Divorced",2180,6,11,"3",6,0,4,2,1,2,1,2786.9152854512,-606.915285451197,0.782226862574713
"107",1,24,1,"Medical","Male","Research Scientist","4","Married",2293,2,16,"3",6,2,2,0,2,0,1,2786.9152854512,-493.915285451197,0.822773484350374
"108",1,48,15,"Other","Female","Research Scientist","1","Married",2367,8,12,"3",10,3,8,2,7,6,0,2786.9152854512,-419.915285451197,0.849326139318507
"109",1,32,4,"Life Sciences","Female","Sales Representative","2","Married",3931,2,11,"3",6,5,4,3,1,2,0,2786.9152854512,1144.0847145488,1.4105200902666
"110",1,38,3,"Other","Male","Research Scientist","3","Married",2821,3,16,"3",8,2,2,2,2,2,0,2786.9152854512,34.0847145488028,1.01223026574462
"111",1,31,11,"Life Sciences","Male","Research Scientist","4","Married",2356,3,19,"3",8,2,6,4,0,2,0,2786.9152854512,-430.915285451197,0.84537912303946
"112",1,33,8,"Life Sciences","Female","Sales Representative","4","Single",2342,0,19,"3",3,2,2,2,2,2,0,2786.9152854512,-444.915285451197,0.840355647775219
"113",1,25,7,"Medical","Male","Research Scientist","4","Married",2889,1,11,"3",2,2,2,2,2,1,0,2786.9152854512,102.084714548803,1.03663000274236
"114",1,26,25,"Life Sciences","Male","Laboratory Technician","3","Single",2293,1,12,"3",1,2,1,0,0,1,1,2786.9152854512,-493.915285451197,0.822773484350374
"115",1,18,1,"Life Sciences","Female","Laboratory Technician","4","Single",1611,1,15,"3",0,5,0,0,0,0,0,2786.9152854512,-1175.9152854512,0.578058475049478
"116",1,31,1,"Life Sciences","Female","Sales Representative","3","Single",1359,1,12,"3",1,3,1,0,0,0,1,2786.9152854512,-1427.9152854512,0.487635920293135
"117",1,29,1,"Life Sciences","Female","Research Scientist","4","Divorced",3760,1,15,"3",3,5,3,2,1,2,0,2786.9152854512,973.084714548803,1.34916192811051
"118",1,29,4,"Technical Degree","Female","Research Scientist","1","Divorced",2109,1,13,"3",1,2,1,0,0,0,0,2786.9152854512,-677.915285451197,0.756750666591775
"119",1,26,16,"Medical","Male","Laboratory Technician","2","Divorced",2373,2,13,"3",5,2,3,2,0,2,1,2786.9152854512,-413.915285451197,0.851479057288896
"120",1,27,11,"Life Sciences","Male","Laboratory Technician","1","Married",2099,0,14,"3",6,3,5,0,1,4,0,2786.9152854512,-687.915285451197,0.75316246997446
"121",1,26,5,"Medical","Female","Research Scientist","3","Married",2366,1,14,"3",8,2,8,7,1,7,1,2786.9152854512,-420.915285451197,0.848967319656775
"122",1,43,17,"Technical Degree","Male","Research Scientist","3","Married",2437,9,16,"3",6,4,1,0,0,0,1,2786.9152854512,-349.915285451197,0.874443515639713
"123",1,29,15,"Life Sciences","Female","Research Scientist","4","Married",2168,0,18,"3",6,2,5,4,1,3,0,2786.9152854512,-618.915285451197,0.777921026633934
"124",1,21,22,"Technical Degree","Male","Sales Representative","3","Single",3447,1,11,"3",3,2,3,2,1,2,0,2786.9152854512,660.084714548803,1.23685137398855
"125",1,30,3,"Technical Degree","Female","Research Scientist","1","Single",2657,5,11,"3",8,5,5,2,0,4,1,2786.9152854512,-129.915285451197,0.953383841220648
"126",1,27,4,"Life Sciences","Male","Research Scientist","3","Divorced",2517,1,11,"3",5,2,5,3,0,3,0,2786.9152854512,-269.915285451197,0.903149088578235
"127",1,19,2,"Life Sciences","Male","Laboratory Technician","4","Single",1102,1,22,"4",1,3,1,0,1,0,1,2786.9152854512,-1684.9152854512,0.395419267228135
"128",1,43,2,"Life Sciences","Male","Human Resources","4","Single",3539,0,13,"3",10,5,9,7,1,8,0,2786.9152854512,752.084714548803,1.26986278286785
"129",1,31,29,"Medical","Male","Laboratory Technician","2","Single",3479,0,11,"3",6,2,5,4,1,4,1,2786.9152854512,692.084714548803,1.24833360316396
"130",1,26,3,"Technical Degree","Male","Research Scientist","1","Single",3102,0,22,"4",7,2,6,4,0,4,1,2786.9152854512,315.084714548803,1.11305859069117
"131",1,37,6,"Human Resources","Male","Human Resources","1","Divorced",2073,4,22,"4",7,3,3,2,0,2,1,2786.9152854512,-713.915285451197,0.74383315876944
"132",1,37,4,"Life Sciences","Male","Research Scientist","3","Married",2996,7,15,"3",8,2,6,4,1,3,0,2786.9152854512,209.084714548803,1.07502370654763
"133",1,26,6,"Life Sciences","Female","Laboratory Technician","4","Married",2659,1,13,"3",3,2,3,2,0,2,0,2786.9152854512,-127.915285451197,0.954101480544111
"134",1,18,3,"Medical","Female","Sales Representative","4","Single",1569,1,12,"3",0,2,0,0,0,0,1,2786.9152854512,-1217.9152854512,0.562988049256754
"135",1,29,10,"Life Sciences","Male","Sales Representative","3","Single",2642,1,11,"3",1,6,1,0,0,0,0,2786.9152854512,-144.915285451197,0.948001546294675
"136",1,25,24,"Life Sciences","Male","Sales Representative","4","Single",1118,1,14,"3",1,4,1,0,1,0,1,2786.9152854512,-1668.9152854512,0.401160381815839
"137",1,34,10,"Life Sciences","Male","Laboratory Technician","2","Divorced",2008,1,14,"3",1,3,1,0,1,0,0,2786.9152854512,-778.915285451197,0.720509880756891
"138",1,27,4,"Life Sciences","Female","Research Scientist","3","Single",2318,1,19,"3",1,2,1,1,0,0,0,2786.9152854512,-468.915285451197,0.831743975893662
"139",1,21,10,"Life Sciences","Female","Laboratory Technician","3","Single",2625,1,20,"4",2,2,2,2,2,2,1,2786.9152854512,-161.915285451197,0.941901612045239
"140",1,41,9,"Life Sciences","Male","Laboratory Technician","1","Married",2238,2,21,"4",7,2,5,0,1,4,0,2786.9152854512,-548.915285451197,0.803038402955141
"141",1,31,7,"Life Sciences","Male","Sales Representative","3","Married",2329,3,15,"3",13,2,7,7,5,2,0,2786.9152854512,-457.915285451197,0.835690992172709
"142",1,34,9,"Technical Degree","Female","Human Resources","3","Married",2742,1,15,"3",2,0,2,2,2,2,1,2786.9152854512,-44.9152854511972,0.983883512467827
"143",1,29,10,"Marketing","Male","Sales Representative","2","Divorced",2297,1,14,"3",2,2,2,2,2,2,0,2786.9152854512,-489.915285451197,0.824208762997301
"144",1,28,1,"Life Sciences","Male","Research Scientist","4","Married",2044,1,11,"3",5,6,5,3,0,3,0,2786.9152854512,-742.915285451197,0.733427388579226
"145",1,33,10,"Medical","Male","Laboratory Technician","4","Divorced",3408,7,13,"3",8,2,4,3,1,3,1,2786.9152854512,621.084714548803,1.22285740718102
"146",1,40,2,"Life Sciences","Female","Laboratory Technician","1","Married",3377,4,17,"3",7,5,4,3,0,2,0,2786.9152854512,590.084714548803,1.21173399766734
"147",1,36,6,"Life Sciences","Female","Laboratory Technician","4","Married",3038,3,12,"3",5,3,1,0,0,0,0,2786.9152854512,251.084714548803,1.09009413234036
"148",1,34,1,"Life Sciences","Male","Research Scientist","4","Married",3622,1,13,"3",6,3,6,5,1,3,0,2786.9152854512,835.084714548803,1.29964481479156
"149",1,24,2,"Technical Degree","Female","Research Scientist","4","Single",3760,1,13,"3",6,2,6,3,1,3,0,2786.9152854512,973.084714548803,1.34916192811051
"150",1,42,5,"Other","Male","Laboratory Technician","3","Married",2093,4,17,"3",8,4,2,2,2,0,0,2786.9152854512,-693.915285451197,0.751009552004071
"151",1,27,8,"Medical","Female","Research Scientist","3","Married",3517,7,17,"3",5,0,3,2,0,2,0,2786.9152854512,730.084714548803,1.26196875030975
"152",1,45,10,"Life Sciences","Male","Research Scientist","4","Married",2654,3,21,"4",8,3,2,2,0,2,0,2786.9152854512,-132.915285451197,0.952307382235453
"153",1,35,7,"Life Sciences","Male","Laboratory Technician","4","Married",2690,1,18,"3",1,5,1,0,0,1,0,2786.9152854512,-96.9152854511972,0.965224890057788
"154",1,28,2,"Medical","Male","Research Scientist","4","Married",3464,5,13,"3",5,4,3,2,2,2,1,2786.9152854512,677.084714548803,1.24295130823798
"155",1,37,21,"Medical","Female","Sales Representative","4","Married",2973,5,15,"3",10,3,5,4,0,0,0,2786.9152854512,186.084714548803,1.06677085432781
"156",1,29,7,"Technical Degree","Female","Laboratory Technician","3","Divorced",3339,3,13,"3",10,2,7,7,7,7,1,2786.9152854512,552.084714548803,1.19809885052154
"157",1,26,20,"Medical","Female","Human Resources","2","Married",2148,0,11,"3",6,3,5,1,1,4,1,2786.9152854512,-638.915285451197,0.770744633399304
"158",1,33,5,"Life Sciences","Female","Research Scientist","4","Married",2911,1,13,"3",2,2,2,2,0,2,0,2786.9152854512,124.084714548803,1.04452403530045
"159",1,23,2,"Technical Degree","Male","Sales Representative","1","Divorced",2322,3,13,"3",3,3,0,0,0,0,0,2786.9152854512,-464.915285451197,0.833179254540588
"160",1,20,2,"Medical","Female","Sales Representative","3","Single",2783,1,19,"3",2,3,2,2,2,2,0,2786.9152854512,-3.91528545119718,0.998595118598819
"161",1,34,1,"Life Sciences","Female","Research Scientist","4","Single",3280,2,16,"3",10,2,4,2,1,3,0,2786.9152854512,493.084714548803,1.17692849047938
"162",1,26,17,"Life Sciences","Female","Human Resources","3","Divorced",2741,0,11,"3",8,2,7,7,1,0,1,2786.9152854512,-45.9152854511972,0.983524692806095
"163",1,32,25,"Life Sciences","Male","Laboratory Technician","4","Single",2795,1,24,"4",1,2,1,0,0,1,1,2786.9152854512,8.08471454880282,1.0029009545396
"164",1,29,7,"Medical","Female","Laboratory Technician","4","Divorced",2532,6,14,"3",8,5,4,3,0,3,0,2786.9152854512,-254.915285451197,0.908531383504208
"165",1,44,9,"Life Sciences","Male","Research Scientist","1","Married",2559,1,13,"3",8,0,8,7,7,1,0,2786.9152854512,-227.915285451197,0.918219514370959
"166",1,37,10,"Life Sciences","Female","Research Scientist","1","Divorced",2782,0,13,"3",6,3,5,3,4,3,0,2786.9152854512,-4.91528545119718,0.998236298937088
"167",1,18,3,"Life Sciences","Male","Laboratory Technician","3","Single",1420,1,13,"3",0,2,0,0,0,0,1,2786.9152854512,-1366.9152854512,0.509523919658758
"168",1,41,7,"Technical Degree","Female","Research Scientist","3","Married",3376,1,13,"3",10,3,10,6,0,8,0,2786.9152854512,589.084714548803,1.21137517800561
"169",1,36,18,"Life Sciences","Male","Laboratory Technician","4","Married",3688,4,18,"3",4,2,1,0,0,0,0,2786.9152854512,901.084714548803,1.32332691246584
"170",1,21,18,"Other","Female","Research Scientist","4","Single",2693,1,19,"3",1,3,1,0,0,0,1,2786.9152854512,-93.9152854511972,0.966301349042982
"171",1,44,24,"Medical","Male","Laboratory Technician","3","Single",3708,2,14,"3",9,5,5,2,1,4,0,2786.9152854512,921.084714548803,1.33050330570047
