Age,JobLevel,DistanceFromHome,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Attrition_txt
29,1,2,Life Sciences,Male,Research Scientist,2,Married,2703,0,23,4,6,3,5,4,0,4,0,No
31,1,1,Medical,Male,Research Scientist,2,Single,2501,1,17,3,1,4,1,1,1,0,0,No
32,2,1,Life Sciences,Male,Research Scientist,2,Married,6220,1,17,3,10,3,10,4,0,9,0,No
36,1,6,Life Sciences,Female,Laboratory Technician,4,Married,3038,3,12,3,5,3,1,0,0,0,0,No
31,2,8,Life Sciences,Female,Manufacturing Director,4,Single,4424,1,23,4,11,2,11,7,1,8,0,No
35,2,1,Marketing,Male,Sales Executive,1,Single,4312,0,14,3,16,2,15,13,2,8,0,No
45,3,6,Other,Male,Research Director,1,Married,13245,4,14,3,17,3,0,0,0,0,0,No
37,3,7,Medical,Male,Research Director,3,Single,13664,4,13,3,16,3,5,2,0,2,0,No
46,2,5,Medical,Male,Human Resources,2,Divorced,5021,8,22,4,16,2,4,2,0,2,0,No
30,2,1,Life Sciences,Male,Laboratory Technician,4,Married,5126,1,12,3,10,1,10,8,3,0,0,No
35,1,1,Medical,Male,Research Scientist,3,Single,2859,1,18,3,6,3,6,4,0,4,0,No
55,3,1,Life Sciences,Male,Sales Executive,4,Married,10239,3,14,3,24,4,1,0,1,0,0,No
38,2,6,Medical,Female,Research Scientist,4,Divorced,5329,7,12,3,17,3,13,11,1,9,0,No
34,2,1,Medical,Male,Manufacturing Director,2,Married,4325,1,15,3,5,2,5,2,1,3,0,No
56,3,7,Life Sciences,Male,Manufacturing Director,4,Single,7260,4,11,3,37,3,6,4,0,2,0,No
23,1,2,Technical Degree,Male,Sales Representative,1,Divorced,2322,3,13,3,3,3,0,0,0,0,0,No
51,1,9,Life Sciences,Male,Laboratory Technician,4,Married,2075,3,23,4,10,4,4,2,0,3,0,No
30,2,2,Life Sciences,Male,Healthcare Representative,4,Married,4152,1,19,3,11,3,11,10,10,8,0,No
46,3,9,Medical,Male,Sales Executive,4,Single,9619,1,16,3,9,3,9,8,4,7,1,Yes
40,4,1,Life Sciences,Male,Healthcare Representative,2,Married,13503,1,22,4,22,3,22,3,11,11,0,No
51,2,21,Marketing,Male,Sales Executive,4,Single,5441,0,22,4,11,2,10,7,1,0,0,No
30,2,4,Medical,Female,Sales Executive,2,Divorced,5209,1,12,3,11,4,11,8,2,7,0,No
46,3,1,Medical,Male,Healthcare Representative,1,Married,10673,2,13,3,21,5,10,9,9,5,0,No
32,2,6,Medical,Male,Sales Executive,3,Single,5010,1,16,3,12,0,11,8,5,7,0,No
54,3,2,Technical Degree,Female,Research Director,3,Married,13549,9,12,3,16,5,4,3,0,3,0,No
24,2,3,Other,Female,Sales Executive,3,Married,4999,0,21,4,4,2,3,2,0,2,0,No
28,2,4,Medical,Male,Sales Executive,3,Married,4221,1,15,3,5,3,5,4,0,4,0,No
58,4,10,Medical,Male,Sales Executive,3,Single,13872,0,13,3,38,1,37,10,1,8,0,No
44,2,23,Medical,Male,Laboratory Technician,2,Married,2042,4,12,3,17,3,3,2,1,2,0,No
37,1,6,Human Resources,Male,Human Resources,1,Divorced,2073,4,22,4,7,3,3,2,0,2,1,Yes
32,1,1,Life Sciences,Male,Research Scientist,1,Single,2956,1,13,3,1,2,1,0,0,0,0,No
20,1,6,Life Sciences,Female,Laboratory Technician,4,Single,2926,1,18,3,1,5,1,0,1,0,1,Yes
34,2,6,Other,Female,Research Scientist,3,Single,4809,1,14,3,16,3,16,13,2,10,0,No
37,2,2,Life Sciences,Male,Healthcare Representative,4,Divorced,5163,5,14,3,17,2,1,0,0,0,0,No
59,5,2,Human Resources,Female,Manager,4,Married,18844,9,21,4,30,3,3,2,2,2,0,No
50,5,1,Life Sciences,Female,Research Director,2,Married,18172,3,19,3,28,1,8,3,0,7,0,No
25,2,5,Marketing,Male,Sales Executive,3,Single,5744,1,11,3,6,1,6,4,0,3,1,Yes
25,1,7,Medical,Male,Research Scientist,4,Married,2889,1,11,3,2,2,2,2,2,1,0,No
22,1,15,Medical,Female,Laboratory Technician,4,Single,2871,1,15,3,1,5,0,0,0,0,0,No
51,3,1,Medical,Female,Healthcare Representative,1,Single,7484,3,20,4,23,1,13,12,12,8,0,No
34,2,7,Life Sciences,Male,Laboratory Technician,3,Single,6074,1,24,4,9,3,9,7,0,6,1,Yes
54,4,26,Human Resources,Female,Manager,4,Single,17328,2,12,3,23,3,5,3,4,4,0,No
24,1,18,Life Sciences,Male,Laboratory Technician,3,Married,2774,0,12,3,6,2,5,3,1,2,0,No
34,2,6,Life Sciences,Female,Research Scientist,2,Divorced,4505,6,15,3,12,3,1,0,0,0,0,No
37,3,3,Life Sciences,Male,Sales Executive,4,Single,7428,2,12,3,12,3,5,3,1,3,0,No
34,3,5,Medical,Female,Manager,1,Single,11631,2,12,3,14,6,11,10,5,8,0,No
36,3,11,Technical Degree,Female,Sales Executive,4,Married,9738,0,14,3,10,6,9,7,2,8,0,No
36,1,3,Life Sciences,Female,Laboratory Technician,4,Divorced,2835,5,22,4,7,2,1,0,0,0,0,No
43,4,26,Life Sciences,Male,Manager,4,Married,16959,1,12,3,25,3,25,12,4,12,0,No
30,1,23,Life Sciences,Male,Research Scientist,3,Divorced,2613,1,25,4,10,2,10,7,0,9,0,No
33,2,22,Marketing,Male,Sales Executive,2,Married,6146,0,13,3,8,2,7,7,0,7,0,No
56,1,14,Life Sciences,Female,Research Scientist,2,Married,4963,9,18,3,7,2,5,4,4,3,1,Yes
51,5,6,Life Sciences,Male,Research Director,3,Single,19537,7,13,3,23,5,20,18,15,15,0,No
31,2,6,Life Sciences,Male,Sales Executive,3,Married,6172,4,18,3,12,3,7,7,7,7,1,Yes
26,1,6,Other,Female,Research Scientist,2,Married,2368,1,19,3,5,3,5,4,4,3,0,No
58,3,23,Medical,Female,Healthcare Representative,4,Married,10312,1,12,3,40,3,40,10,15,6,1,Yes
19,1,22,Marketing,Male,Sales Representative,3,Single,1675,1,19,3,0,2,0,0,0,0,1,Yes
22,1,2,Technical Degree,Male,Laboratory Technician,4,Married,2523,0,14,3,3,2,2,1,2,1,0,No
49,2,20,Medical,Female,Manufacturing Director,1,Married,6567,1,14,3,16,2,15,11,5,11,0,No
43,1,28,Medical,Female,Research Scientist,3,Single,4739,4,12,3,18,2,3,2,1,2,0,No
50,3,12,Marketing,Female,Sales Executive,4,Single,9208,4,11,3,16,3,2,2,2,1,0,No
31,2,20,Life Sciences,Female,Sales Executive,3,Married,4559,3,11,3,4,2,2,2,2,2,1,Yes
41,3,9,Life Sciences,Male,Sales Executive,3,Divorced,8189,3,13,3,12,2,9,7,0,7,0,No
26,1,25,Life Sciences,Female,Human Resources,3,Married,2942,1,23,4,8,3,8,7,5,7,0,No
36,2,6,Medical,Male,Manufacturing Director,2,Divorced,4941,6,20,4,7,0,3,2,0,1,0,No
51,3,8,Life Sciences,Male,Manufacturing Director,4,Single,10650,2,15,3,18,2,4,2,0,3,1,Yes
39,2,4,Life Sciences,Female,Sales Executive,3,Married,5902,4,14,3,17,1,15,11,5,9,0,No
25,2,28,Life Sciences,Male,Sales Executive,3,Married,8639,2,18,3,6,3,2,2,2,2,0,No
30,2,9,Human Resources,Male,Human Resources,4,Married,6347,0,19,3,12,2,11,9,4,7,0,No
32,1,9,Medical,Female,Laboratory Technician,1,Single,4200,7,22,4,10,2,5,4,0,4,1,Yes
45,1,29,Medical,Male,Research Scientist,4,Single,3452,5,13,3,9,2,6,5,0,3,0,No
38,2,3,Technical Degree,Female,Research Scientist,3,Single,4317,3,20,4,19,2,3,2,2,2,0,No
30,1,18,Life Sciences,Female,Research Scientist,3,Single,2632,1,14,3,5,4,5,4,0,4,0,No
32,2,9,Medical,Male,Sales Executive,4,Divorced,4668,0,17,3,9,2,8,7,0,7,0,No
30,1,5,Technical Degree,Female,Research Scientist,1,Divorced,3204,5,14,3,8,3,3,2,2,2,0,No
30,1,2,Medical,Male,Laboratory Technician,4,Single,2720,0,13,3,6,3,5,3,1,2,0,No
41,4,10,Life Sciences,Male,Manager,1,Divorced,17181,4,13,3,21,2,7,6,7,7,0,No
41,1,9,Life Sciences,Male,Laboratory Technician,1,Married,2238,2,21,4,7,2,5,0,1,4,0,No
19,1,3,Medical,Female,Laboratory Technician,2,Single,1483,1,14,3,1,3,1,0,0,0,0,No
40,2,26,Medical,Female,Research Scientist,2,Divorced,5605,1,11,3,20,2,20,7,2,13,0,No
35,3,1,Marketing,Male,Sales Executive,2,Married,7295,1,13,3,10,3,10,8,0,6,0,No
53,2,6,Marketing,Male,Sales Representative,3,Married,2306,2,20,4,13,3,7,7,4,5,0,No
45,2,9,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,8,18,3,20,2,17,9,0,15,0,No
32,3,8,Marketing,Female,Sales Executive,4,Single,8998,1,14,3,9,2,9,8,3,7,0,No
29,2,1,Technical Degree,Male,Manufacturing Director,3,Married,4319,1,13,3,10,1,10,7,0,9,0,No
51,2,7,Medical,Male,Manufacturing Director,3,Married,6132,2,17,3,10,2,1,0,0,0,0,No
58,1,9,Medical,Female,Research Scientist,2,Married,3346,4,20,4,9,3,1,0,0,0,0,No
40,3,4,Marketing,Male,Sales Executive,4,Married,10855,7,11,3,15,2,12,11,2,11,0,No
34,1,2,Marketing,Female,Sales Representative,3,Married,2231,6,18,3,6,3,4,3,1,2,0,No
22,1,19,Medical,Male,Research Scientist,4,Married,2323,1,24,4,2,6,2,2,2,2,0,No
27,1,9,Medical,Male,Research Scientist,2,Divorced,2024,6,18,3,6,1,2,2,2,2,0,No
28,1,21,Medical,Male,Research Scientist,4,Married,2713,1,11,3,5,2,5,2,0,2,0,No
57,3,24,Life Sciences,Male,Healthcare Representative,4,Divorced,9439,3,16,3,12,2,5,3,1,4,0,No
27,1,3,Medical,Male,Research Scientist,3,Divorced,2566,1,15,3,1,2,1,1,0,1,0,No
50,5,11,Life Sciences,Female,Manager,2,Single,19926,3,15,3,21,5,5,4,4,4,0,No
41,1,14,Life Sciences,Male,Research Scientist,3,Divorced,2451,4,12,3,13,2,9,8,1,8,0,No
30,3,5,Life Sciences,Female,Sales Executive,4,Married,9419,2,12,3,12,2,10,9,7,4,0,No
38,2,1,Life Sciences,Female,Sales Executive,4,Single,8686,4,22,4,12,2,8,3,0,7,0,No
32,1,6,Life Sciences,Male,Research Scientist,3,Single,3038,3,20,4,8,2,5,4,1,4,0,No
27,1,17,Technical Degree,Male,Research Scientist,2,Married,3058,0,16,3,6,3,5,2,1,1,0,No
19,1,1,Technical Degree,Female,Sales Representative,1,Single,2325,0,21,4,1,5,0,0,0,0,1,Yes
36,1,3,Medical,Male,Laboratory Technician,2,Single,2088,4,12,3,13,3,8,7,7,2,0,No
30,2,9,Medical,Male,Laboratory Technician,1,Divorced,3072,1,11,3,12,4,12,9,6,10,0,No
45,2,4,Life Sciences,Female,Sales Executive,1,Divorced,5006,4,11,3,9,3,5,4,0,3,0,No
56,1,8,Life Sciences,Female,Research Scientist,1,Divorced,4257,4,18,3,19,3,2,2,2,2,0,No
33,1,2,Life Sciences,Male,Research Scientist,4,Single,2500,0,14,3,4,2,3,1,0,2,0,No
19,1,2,Life Sciences,Male,Laboratory Technician,4,Single,1102,1,22,4,1,3,1,0,1,0,1,Yes
46,3,1,Marketing,Female,Sales Executive,1,Divorced,10453,1,25,4,24,2,24,13,15,7,0,No
38,1,9,Life Sciences,Female,Laboratory Technician,4,Single,2288,1,12,3,2,3,2,2,2,1,0,No
31,1,12,Medical,Female,Research Scientist,4,Married,3929,8,23,4,7,0,4,2,0,2,0,No
34,1,27,Medical,Female,Research Scientist,2,Single,2311,2,15,3,9,3,3,2,1,2,0,No
41,1,20,Marketing,Female,Sales Representative,2,Single,3140,1,22,4,4,5,4,3,0,2,1,Yes
50,1,1,Medical,Male,Laboratory Technician,3,Married,3690,2,15,3,5,2,3,2,0,2,0,No
53,2,13,Medical,Female,Manufacturing Director,1,Divorced,4450,1,11,3,5,3,4,2,1,3,0,No
33,1,14,Medical,Female,Research Scientist,2,Married,2756,1,13,3,8,5,8,7,1,6,0,No
40,5,4,Medical,Female,Manager,3,Married,19033,1,14,3,21,2,20,8,9,9,0,No
55,5,14,Medical,Male,Research Director,2,Single,18722,8,11,3,36,3,24,15,2,15,0,No
34,2,2,Life Sciences,Male,Manufacturing Director,3,Married,9547,1,17,3,10,2,10,9,1,9,0,No
51,4,3,Medical,Female,Healthcare Representative,2,Single,13734,3,18,3,21,6,7,7,1,0,0,No
52,5,1,Life Sciences,Male,Manager,3,Married,19999,0,14,3,34,5,33,18,11,9,0,No
27,1,9,Medical,Female,Research Scientist,2,Single,2279,1,16,3,7,2,7,7,0,3,0,No
35,2,23,Life Sciences,Male,Manufacturing Director,3,Married,5916,3,13,3,8,1,1,0,0,1,1,Yes
43,1,7,Medical,Male,Research Scientist,4,Divorced,2089,4,14,3,7,3,5,4,2,2,0,No
45,4,2,Medical,Male,Manager,4,Married,16792,9,23,4,22,1,20,8,11,8,0,No
37,1,21,Life Sciences,Male,Research Scientist,1,Married,3564,1,12,3,8,3,8,7,1,7,0,No
35,2,2,Medical,Female,Laboratory Technician,2,Single,4425,5,11,3,10,5,6,2,1,2,0,No
42,2,21,Medical,Female,Manufacturing Director,3,Divorced,5265,2,16,3,11,5,5,3,0,2,0,No
38,2,2,Life Sciences,Male,Manufacturing Director,3,Married,6553,9,14,3,14,3,1,0,0,0,0,No
38,2,29,Technical Degree,Male,Manufacturing Director,4,Married,6261,3,18,3,9,3,7,7,1,7,0,No
27,2,1,Technical Degree,Male,Manufacturing Director,1,Married,4298,5,19,3,6,1,2,2,2,0,0,No
49,2,18,Life Sciences,Male,Manufacturing Director,4,Divorced,6804,1,15,3,7,0,7,7,1,7,0,No
34,1,10,Medical,Male,Research Scientist,3,Divorced,3815,1,17,3,5,4,5,3,2,0,0,No
40,2,19,Medical,Male,Laboratory Technician,4,Married,2741,8,15,3,15,2,7,2,3,7,0,No
38,2,29,Medical,Male,Healthcare Representative,1,Married,6673,7,19,3,17,2,1,0,0,0,1,Yes
29,3,27,Marketing,Female,Sales Executive,4,Married,7639,1,22,4,10,3,10,4,1,9,1,Yes
22,1,5,Life Sciences,Male,Research Scientist,2,Divorced,2328,1,16,3,4,2,4,2,2,2,0,No
36,1,18,Medical,Female,Laboratory Technician,4,Single,2153,1,13,3,8,2,8,1,1,7,0,No
40,2,9,Life Sciences,Male,Healthcare Representative,4,Married,4876,9,14,3,5,5,3,2,0,2,0,No
46,3,1,Medical,Male,Healthcare Representative,1,Divorced,9396,7,16,3,17,3,4,2,0,3,0,No
32,3,4,Medical,Male,Sales Executive,4,Married,10400,1,11,3,14,2,14,8,9,8,1,Yes
30,3,1,Life Sciences,Male,Manufacturing Director,3,Single,8474,1,22,4,12,2,11,8,5,8,0,No
27,2,20,Life Sciences,Female,Sales Executive,3,Single,9981,1,14,3,7,2,7,7,0,7,0,No
51,3,8,Life Sciences,Male,Research Director,2,Married,12490,5,16,3,16,5,10,9,4,7,0,No
30,1,3,Technical Degree,Female,Research Scientist,1,Single,2657,5,11,3,8,5,5,2,0,4,1,Yes
41,3,6,Life Sciences,Female,Manager,4,Single,13591,3,18,3,16,3,1,0,0,0,0,No
30,2,26,Marketing,Female,Sales Executive,1,Single,6696,5,15,3,9,5,6,3,0,1,1,Yes
29,1,1,Technical Degree,Male,Research Scientist,3,Single,2058,0,14,3,7,1,6,2,1,5,1,Yes
45,3,6,Medical,Female,Sales Executive,4,Single,8865,6,12,3,23,2,19,7,12,8,0,No
54,2,3,Marketing,Female,Sales Executive,1,Married,5940,2,14,3,16,4,6,2,0,5,0,No
36,2,5,Life Sciences,Male,Laboratory Technician,2,Single,5914,8,16,3,16,3,13,11,3,7,0,No
33,1,4,Medical,Female,Research Scientist,2,Married,2622,6,21,4,7,3,3,2,1,1,0,No
37,3,11,Other,Male,Research Director,4,Divorced,12185,1,14,3,10,1,10,8,0,7,0,No
38,3,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,0,12,3,17,6,16,10,5,13,0,No
31,2,1,Medical,Male,Manufacturing Director,3,Married,4345,0,12,3,6,2,5,4,1,4,0,No
59,1,3,Life Sciences,Male,Research Scientist,4,Married,2177,3,17,3,7,6,1,0,0,0,0,No
37,1,4,Marketing,Male,Sales Representative,4,Divorced,2793,4,17,3,13,2,9,8,5,8,0,No
29,3,1,Medical,Female,Sales Executive,4,Married,7918,1,14,3,11,5,11,10,4,1,0,No
35,3,1,Marketing,Female,Sales Executive,3,Single,8789,1,14,3,10,3,10,7,0,8,0,No
29,1,18,Medical,Male,Research Scientist,4,Single,2389,1,13,3,4,3,4,3,0,1,1,Yes
52,1,2,Life Sciences,Female,Laboratory Technician,4,Single,3212,7,15,3,6,3,2,2,2,2,0,No
42,5,4,Technical Degree,Male,Manager,4,Married,19232,1,11,3,22,3,22,17,11,15,0,No
59,1,6,Medical,Male,Human Resources,3,Married,2267,8,17,3,7,2,2,2,2,2,0,No
50,5,1,Medical,Female,Manager,4,Divorced,19517,3,11,3,32,3,7,0,0,6,0,No
33,1,14,Medical,Male,Laboratory Technician,4,Married,2436,5,13,3,8,2,5,4,0,4,1,Yes
43,4,16,Marketing,Female,Manager,4,Married,16064,5,22,4,22,3,17,13,1,9,0,No
33,1,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,7,20,4,13,3,9,7,1,7,1,Yes
52,5,2,Life Sciences,Male,Manager,3,Single,19068,1,18,3,33,2,33,7,15,12,0,No
32,1,4,Life Sciences,Female,Sales Representative,2,Married,3931,2,11,3,6,5,4,3,1,2,0,No
32,1,1,Life Sciences,Male,Laboratory Technician,3,Single,3730,0,14,3,4,2,3,2,1,2,1,Yes
39,1,1,Medical,Female,Laboratory Technician,3,Divorced,2232,7,14,3,7,1,3,2,1,2,0,No
32,2,26,Marketing,Male,Sales Executive,4,Married,4465,0,18,3,4,2,3,2,2,2,0,No
41,2,19,Life Sciences,Male,Research Scientist,1,Divorced,3072,2,16,3,17,2,1,0,0,0,0,No
40,2,24,Technical Degree,Male,Research Scientist,4,Divorced,3319,1,17,3,9,3,9,8,4,7,0,No
45,5,1,Other,Male,Manager,4,Married,19202,0,11,3,25,2,24,0,1,7,0,No
31,3,3,Medical,Male,Research Director,3,Divorced,13675,9,12,3,9,3,2,2,2,2,0,No
33,1,5,Life Sciences,Female,Research Scientist,4,Married,2911,1,13,3,2,2,2,2,0,2,0,No
34,2,2,Life Sciences,Male,Manufacturing Director,1,Married,5957,6,13,3,13,3,11,9,5,9,0,No
37,1,1,Medical,Female,Research Scientist,1,Married,3920,2,14,3,17,2,3,1,0,2,0,No
45,2,7,Life Sciences,Male,Manufacturing Director,3,Married,6434,4,17,3,9,1,3,2,0,2,0,No
37,3,10,Medical,Male,Manufacturing Director,3,Divorced,10048,6,11,3,17,5,1,0,0,0,1,Yes
39,3,2,Technical Degree,Female,Healthcare Representative,3,Single,10938,0,25,4,20,1,19,6,11,8,0,No
29,1,15,Life Sciences,Male,Research Scientist,4,Single,2340,1,19,3,6,1,6,5,1,5,0,No
42,2,17,Life Sciences,Female,Research Scientist,1,Single,6545,3,13,3,10,1,3,2,0,2,0,No
29,2,20,Marketing,Male,Sales Executive,4,Divorced,6931,2,14,3,10,2,3,2,0,2,0,No
25,2,1,Life Sciences,Female,Manufacturing Director,3,Married,4898,0,12,3,5,3,4,2,1,2,0,No
42,1,2,Medical,Female,Laboratory Technician,1,Divorced,2593,0,11,3,10,4,9,6,7,8,0,No
40,5,2,Medical,Male,Research Director,3,Divorced,19436,0,19,3,22,5,21,7,3,9,0,No
51,1,1,Life Sciences,Male,Research Scientist,4,Married,2723,1,11,3,1,0,1,0,0,0,0,No
